driverId,driverRef,driverStandingsId,raceId,points,position,wins,year,circuitId,name,time
1,hamilton,70572,1065,221.5,2,4,2021,14,Italian Grand Prix,13:00:00
1,hamilton,70593,1066,246.5,1,5,2021,71,Russian Grand Prix,12:00:00
1,hamilton,70614,1067,256.5,2,5,2021,5,Turkish Grand Prix,12:00:00
1,hamilton,70635,1069,275.5,2,5,2021,69,United States Grand Prix,19:00:00
1,hamilton,70656,1070,293.5,2,5,2021,32,Mexico City Grand Prix,19:00:00
1,hamilton,70677,1071,318.5,2,6,2021,18,São Paulo Grand Prix,17:00:00
1,hamilton,70719,1072,369.5,2,8,2021,77,Saudi Arabian Grand Prix,17:30:00
1,hamilton,70740,1073,387.5,2,8,2021,24,Abu Dhabi Grand Prix,13:00:00
1,hamilton,71378,1074,15.0,3,0,2022,3,Bahrain Grand Prix,15:00:00
1,hamilton,71274,1075,16.0,5,0,2022,77,Saudi Arabian Grand Prix,17:00:00
1,hamilton,71294,1076,28.0,5,0,2022,1,Australian Grand Prix,05:00:00
1,hamilton,71315,1077,28.0,7,0,2022,21,Emilia Romagna Grand Prix,13:00:00
1,hamilton,71336,1078,36.0,6,0,2022,79,Miami Grand Prix,19:30:00
1,hamilton,71357,1079,46.0,6,0,2022,4,Spanish Grand Prix,13:00:00
1,hamilton,71398,1080,50.0,6,0,2022,6,Monaco Grand Prix,13:00:00
1,hamilton,71419,1081,62.0,6,0,2022,73,Azerbaijan Grand Prix,11:00:00
1,hamilton,71461,1082,77.0,6,0,2022,7,Canadian Grand Prix,18:00:00
1,hamilton,71482,1083,93.0,6,0,2022,9,British Grand Prix,14:00:00
1,hamilton,71503,1084,109.0,6,0,2022,70,Austrian Grand Prix,13:00:00
1,hamilton,71524,1085,127.0,6,0,2022,34,French Grand Prix,13:00:00
1,hamilton,71545,1086,146.0,6,0,2022,11,Hungarian Grand Prix,13:00:00
1,hamilton,71566,1087,146.0,6,0,2022,13,Belgian Grand Prix,13:00:00
1,hamilton,71587,1088,158.0,6,0,2022,39,Dutch Grand Prix,13:00:00
1,hamilton,71608,1089,168.0,6,0,2022,14,Italian Grand Prix,13:00:00
1,hamilton,71630,1091,170.0,6,0,2022,15,Singapore Grand Prix,12:00:00
1,hamilton,71674,1092,180.0,6,0,2022,22,Japanese Grand Prix,05:00:00
1,hamilton,71740,1093,198.0,6,0,2022,69,United States Grand Prix,19:00:00
1,hamilton,71762,1094,216.0,5,0,2022,32,Mexico City Grand Prix,20:00:00
1,hamilton,71784,1095,240.0,5,0,2022,18,São Paulo Grand Prix,18:00:00
1,hamilton,71806,1096,240.0,6,0,2022,24,Abu Dhabi Grand Prix,13:00:00
1,hamilton,72010,1098,10.0,5,0,2023,3,Bahrain Grand Prix,15:00:00
1,hamilton,71890,1099,20.0,5,0,2023,77,Saudi Arabian Grand Prix,17:00:00
1,hamilton,71910,1100,38.0,4,0,2023,1,Australian Grand Prix,05:00:00
1,hamilton,71930,1101,48.0,4,0,2023,73,Azerbaijan Grand Prix,11:00:00
1,hamilton,71950,1102,56.0,4,0,2023,79,Miami Grand Prix,19:30:00
1,hamilton,71970,1104,69.0,4,0,2023,6,Monaco Grand Prix,13:00:00
1,hamilton,72030,1105,87.0,4,0,2023,4,Spanish Grand Prix,13:00:00
1,hamilton,72070,1106,102.0,4,0,2023,7,Canadian Grand Prix,18:00:00
1,hamilton,72110,1107,106.0,4,0,2023,70,Austrian Grand Prix,13:00:00
1,hamilton,72130,1108,121.0,4,0,2023,9,British Grand Prix,14:00:00
1,hamilton,72150,1109,133.0,4,0,2023,11,Hungarian Grand Prix,13:00:00
1,hamilton,72171,1110,148.0,4,0,2023,13,Belgian Grand Prix,13:00:00
1,hamilton,72192,1111,156.0,4,0,2023,39,Dutch Grand Prix,13:00:00
1,hamilton,72236,1112,164.0,4,0,2023,14,Italian Grand Prix,13:00:00
1,hamilton,72280,1113,180.0,3,0,2023,15,Singapore Grand Prix,12:00:00
1,hamilton,72302,1114,190.0,3,0,2023,22,Japanese Grand Prix,05:00:00
1,hamilton,72346,1115,194.0,3,0,2023,78,Qatar Grand Prix,17:00:00
1,hamilton,72390,1116,201.0,3,0,2023,69,United States Grand Prix,19:00:00
1,hamilton,72412,1117,220.0,3,0,2023,32,Mexico City Grand Prix,20:00:00
1,hamilton,72434,1118,226.0,3,0,2023,18,São Paulo Grand Prix,17:00:00
1,hamilton,72478,1119,232.0,3,0,2023,80,Las Vegas Grand Prix,06:00:00
1,hamilton,72500,1120,234.0,3,0,2023,24,Abu Dhabi Grand Prix,13:00:00
1,hamilton,72564,1121,6.0,7,0,2024,3,Bahrain Grand Prix,15:00:00
1,hamilton,72584,1122,8.0,9,0,2024,77,Saudi Arabian Grand Prix,17:00:00
1,hamilton,72647,1123,8.0,10,0,2024,1,Australian Grand Prix,04:00:00
1,hamilton,72668,1124,10.0,9,0,2024,22,Japanese Grand Prix,05:00:00
1,hamilton,72689,1125,19.0,9,0,2024,17,Chinese Grand Prix,07:00:00
1,hamilton,72710,1126,27.0,9,0,2024,79,Miami Grand Prix,20:00:00
1,hamilton,72731,1127,35.0,8,0,2024,21,Emilia Romagna Grand Prix,13:00:00
1,hamilton,72773,1128,42.0,8,0,2024,6,Monaco Grand Prix,13:00:00
1,hamilton,72794,1129,55.0,8,0,2024,7,Canadian Grand Prix,18:00:00
1,hamilton,72815,1130,70.0,8,0,2024,4,Spanish Grand Prix,13:00:00
1,hamilton,72836,1131,85.0,8,0,2024,70,Austrian Grand Prix,13:00:00
1,hamilton,72857,1132,110.0,8,1,2024,9,British Grand Prix,14:00:00
4,alonso,68613,989,10.0,5,0,2018,1,Australian Grand Prix,05:10:00
4,alonso,68693,990,16.0,4,0,2018,3,Bahrain Grand Prix,15:10:00
4,alonso,68673,991,22.0,6,0,2018,17,Chinese Grand Prix,06:10:00
4,alonso,68713,992,28.0,6,0,2018,73,Azerbaijan Grand Prix,12:10:00
4,alonso,68733,993,32.0,7,0,2018,4,Spanish Grand Prix,13:10:00
4,alonso,68753,994,32.0,7,0,2018,6,Monaco Grand Prix,13:10:00
4,alonso,68773,995,32.0,7,0,2018,7,Canadian Grand Prix,18:10:00
4,alonso,68793,996,32.0,8,0,2018,34,French Grand Prix,14:10:00
4,alonso,68813,997,36.0,8,0,2018,70,Austrian Grand Prix,13:10:00
4,alonso,68833,998,40.0,8,0,2018,9,British Grand Prix,13:10:00
4,alonso,68853,999,40.0,8,0,2018,10,German Grand Prix,13:10:00
4,alonso,68873,1000,44.0,9,0,2018,11,Hungarian Grand Prix,13:10:00
4,alonso,68893,1001,44.0,9,0,2018,13,Belgian Grand Prix,13:10:00
4,alonso,68953,1002,44.0,11,0,2018,14,Italian Grand Prix,13:10:00
4,alonso,68973,1003,50.0,8,0,2018,15,Singapore Grand Prix,12:10:00
4,alonso,68993,1004,50.0,9,0,2018,71,Russian Grand Prix,11:10:00
4,alonso,69013,1005,50.0,10,0,2018,22,Japanese Grand Prix,05:10:00
4,alonso,69053,1006,50.0,10,0,2018,69,United States Grand Prix,18:10:00
4,alonso,69073,1007,50.0,10,0,2018,32,Mexican Grand Prix,19:10:00
4,alonso,69093,1008,50.0,10,0,2018,18,Brazilian Grand Prix,17:10:00
4,alonso,69113,1009,50.0,11,0,2018,24,Abu Dhabi Grand Prix,13:10:00
4,alonso,70716,1051,77.0,10,0,2021,78,Qatar Grand Prix,14:00:00
4,alonso,70249,1052,0.0,19,0,2021,3,Bahrain Grand Prix,15:00:00
4,alonso,70309,1053,1.0,13,0,2021,21,Emilia Romagna Grand Prix,13:00:00
4,alonso,70329,1054,5.0,12,0,2021,75,Portuguese Grand Prix,14:00:00
4,alonso,70349,1055,5.0,12,0,2021,4,Spanish Grand Prix,13:00:00
4,alonso,70369,1056,5.0,13,0,2021,6,Monaco Grand Prix,13:00:00
4,alonso,70389,1057,13.0,11,0,2021,73,Azerbaijan Grand Prix,12:00:00
4,alonso,70409,1059,17.0,11,0,2021,34,French Grand Prix,13:00:00
4,alonso,70429,1058,19.0,11,0,2021,70,Styrian Grand Prix,13:00:00
4,alonso,70469,1060,20.0,11,0,2021,70,Austrian Grand Prix,13:00:00
4,alonso,70489,1061,26.0,11,0,2021,9,British Grand Prix,14:00:00
4,alonso,70529,1062,38.0,11,0,2021,11,Hungarian Grand Prix,13:00:00
4,alonso,70549,1063,38.0,11,0,2021,13,Belgian Grand Prix,13:00:00
4,alonso,70569,1064,46.0,10,0,2021,39,Dutch Grand Prix,13:00:00
4,alonso,70590,1065,50.0,10,0,2021,14,Italian Grand Prix,13:00:00
4,alonso,70611,1066,58.0,10,0,2021,71,Russian Grand Prix,12:00:00
4,alonso,70632,1067,58.0,10,0,2021,5,Turkish Grand Prix,12:00:00
4,alonso,70653,1069,58.0,10,0,2021,69,United States Grand Prix,19:00:00
4,alonso,70674,1070,60.0,10,0,2021,32,Mexico City Grand Prix,19:00:00
4,alonso,70695,1071,62.0,10,0,2021,18,São Paulo Grand Prix,17:00:00
4,alonso,70737,1072,77.0,10,0,2021,77,Saudi Arabian Grand Prix,17:30:00
4,alonso,70758,1073,81.0,10,0,2021,24,Abu Dhabi Grand Prix,13:00:00
4,alonso,71384,1074,2.0,9,0,2022,3,Bahrain Grand Prix,15:00:00
4,alonso,71280,1075,2.0,13,0,2022,77,Saudi Arabian Grand Prix,17:00:00
4,alonso,71300,1076,2.0,14,0,2022,1,Australian Grand Prix,05:00:00
4,alonso,71321,1077,2.0,15,0,2022,21,Emilia Romagna Grand Prix,13:00:00
4,alonso,71342,1078,2.0,16,0,2022,79,Miami Grand Prix,19:30:00
4,alonso,71363,1079,4.0,15,0,2022,4,Spanish Grand Prix,13:00:00
4,alonso,71404,1080,10.0,13,0,2022,6,Monaco Grand Prix,13:00:00
4,alonso,71425,1081,16.0,11,0,2022,73,Azerbaijan Grand Prix,11:00:00
4,alonso,71467,1082,18.0,10,0,2022,7,Canadian Grand Prix,18:00:00
4,alonso,71488,1083,28.0,10,0,2022,9,British Grand Prix,14:00:00
4,alonso,71509,1084,29.0,10,0,2022,70,Austrian Grand Prix,13:00:00
4,alonso,71530,1085,37.0,10,0,2022,34,French Grand Prix,13:00:00
4,alonso,71551,1086,41.0,10,0,2022,11,Hungarian Grand Prix,13:00:00
4,alonso,71572,1087,51.0,9,0,2022,13,Belgian Grand Prix,13:00:00
4,alonso,71593,1088,59.0,9,0,2022,39,Dutch Grand Prix,13:00:00
4,alonso,71614,1089,59.0,9,0,2022,14,Italian Grand Prix,13:00:00
4,alonso,71636,1091,59.0,9,0,2022,15,Singapore Grand Prix,12:00:00
4,alonso,71680,1092,65.0,9,0,2022,22,Japanese Grand Prix,05:00:00
4,alonso,71746,1093,71.0,9,0,2022,69,United States Grand Prix,19:00:00
4,alonso,71768,1094,71.0,9,0,2022,32,Mexico City Grand Prix,20:00:00
4,alonso,71790,1095,81.0,9,0,2022,18,São Paulo Grand Prix,18:00:00
4,alonso,71812,1096,81.0,9,0,2022,24,Abu Dhabi Grand Prix,13:00:00
4,alonso,72008,1098,15.0,3,0,2023,3,Bahrain Grand Prix,15:00:00
4,alonso,71888,1099,30.0,3,0,2023,77,Saudi Arabian Grand Prix,17:00:00
4,alonso,71908,1100,45.0,3,0,2023,1,Australian Grand Prix,05:00:00
4,alonso,71928,1101,60.0,3,0,2023,73,Azerbaijan Grand Prix,11:00:00
4,alonso,71948,1102,75.0,3,0,2023,79,Miami Grand Prix,19:30:00
4,alonso,71968,1104,93.0,3,0,2023,6,Monaco Grand Prix,13:00:00
4,alonso,72028,1105,99.0,3,0,2023,4,Spanish Grand Prix,13:00:00
4,alonso,72068,1106,117.0,3,0,2023,7,Canadian Grand Prix,18:00:00
4,alonso,72108,1107,131.0,3,0,2023,70,Austrian Grand Prix,13:00:00
4,alonso,72128,1108,137.0,3,0,2023,9,British Grand Prix,14:00:00
4,alonso,72148,1109,139.0,3,0,2023,11,Hungarian Grand Prix,13:00:00
4,alonso,72169,1110,149.0,3,0,2023,13,Belgian Grand Prix,13:00:00
4,alonso,72190,1111,168.0,3,0,2023,39,Dutch Grand Prix,13:00:00
4,alonso,72234,1112,170.0,3,0,2023,14,Italian Grand Prix,13:00:00
