name,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Round Number,Year
70th Anniversary Grand Prix,25.287068965517243,58.55603448275862,1000.9508620689655,0.0,43.22758620689655,71.93103448275862,2.236206896551724,4.0,2020.0
Abu Dhabi Grand Prix,27.23701117318436,55.589385474860336,1014.533659217877,0.008379888268156424,31.860614525139667,260.9399441340782,2.0768156424581004,20.68016759776536,2020.518156424581
Australian Grand Prix,21.914039735099337,49.35218543046358,1014.3107284768212,0.006622516556291391,35.932185430463576,194.83708609271523,1.6190728476821192,2.3827814569536425,2021.6026490066224
Austrian Grand Prix,25.699544072948328,36.24148936170213,936.6065349544073,0.0060790273556231,40.159118541033436,160.63829787234042,1.474772036474164,9.896656534954408,2021.5699088145896
Azerbaijan Grand Prix,22.661820652173912,52.83763586956522,1013.2966032608696,0.0,39.08817934782609,176.21195652173913,1.1995923913043478,5.342391304347826,2020.8383152173913
Bahrain Grand Prix,23.785933806146573,41.308747044917254,1012.4238770685579,0.0,28.42978723404255,114.03191489361703,1.0041371158392436,1.2742316784869976,2021.4598108747045
Belgian Grand Prix,16.993531283138918,64.7439024390244,968.1653234358431,0.2704135737009544,25.69501590668081,224.02969247083774,1.3386002120890774,11.928950159066808,2020.7635206786852
Brazilian Grand Prix,22.3609375,67.673828125,924.370703125,0.0,43.3359375,153.5,1.726953125,20.0,2018.51171875
British Grand Prix,22.913262599469494,51.17599469496021,1004.719098143236,0.011936339522546418,38.23527851458886,150.77851458885942,1.579973474801061,10.0,2020.9668435013264
Canadian Grand Prix,21.304185351270554,42.32301943198804,1012.0977578475337,0.04633781763826607,37.02810164424514,202.17189835575485,2.166218236173393,8.064275037369208,2021.3811659192825
Chinese Grand Prix,19.08019801980198,48.11287128712871,1015.7450495049505,0.0049504950495049506,31.024257425742572,125.06683168316832,2.237871287128713,3.8168316831683167,2020.7648514851485
Dutch Grand Prix,20.02301886792453,67.22283018867924,1014.758679245283,0.09056603773584905,30.885094339622643,139.46415094339622,1.5711320754716982,13.615094339622642,2022.0962264150944
Eifel Grand Prix,9.5,59.40408163265307,947.3591836734694,0.02040816326530612,16.360204081632652,89.92857142857143,1.6173469387755102,11.0,2020.0
Emilia Romagna Grand Prix,16.3427597955707,68.39148211243612,1008.7921635434412,0.11243611584327087,24.49471890971039,120.61839863713799,1.337649063032368,6.098807495741056,2021.7870528109029
French Grand Prix,26.85567226890756,48.680252100840335,965.344537815126,0.0021008403361344537,46.7640756302521,113.34033613445378,1.645168067226891,8.813025210084033,2020.1176470588234
German Grand Prix,23.533067729083665,74.14780876494024,995.6768924302788,0.6733067729083665,32.33625498007968,187.69322709163347,1.4215139442231075,11.0,2018.585657370518
Hungarian Grand Prix,25.47793952967525,54.135722284434486,984.3942889137737,0.1187010078387458,38.62049272116461,175.7726763717805,1.6852183650615902,10.438969764837626,2020.7536394176932
Italian Grand Prix,26.722981366459628,42.500124223602484,994.1631055900622,0.02857142857142857,39.91863354037267,187.51925465838508,1.2803726708074534,13.299378881987577,2020.7478260869566
Japanese Grand Prix,22.07518159806295,59.460048426150124,1012.4774818401937,0.3026634382566586,32.1093220338983,231.48547215496367,2.526271186440678,14.268765133171913,2021.6561743341404
Las Vegas Grand Prix,18.05,47.361111111111114,939.7814814814815,0.0,17.994444444444444,220.33333333333334,2.300925925925926,21.0,2023.0
Mexican Grand Prix,21.62888888888889,48.547777777777775,782.3918518518518,0.0,37.97222222222222,197.74814814814815,1.4455555555555557,18.511111111111113,2018.4888888888888
Mexico City Grand Prix,23.783236994219653,29.434682080924855,781.2853564547207,0.0,44.996531791907515,213.66666666666666,1.086319845857418,19.001926782273603,2022.0500963391137
Miami Grand Prix,28.782655246252677,59.09421841541756,1014.6156316916488,0.019271948608137045,41.377301927194864,154.50963597430408,3.0937901498929334,5.3211991434689505,2022.9743040685225
Monaco Grand Prix,22.980357142857144,60.2938492063492,1012.0740079365079,0.23214285714285715,37.01656746031746,172.62301587301587,0.9325396825396826,6.505952380952381,2021.5753968253969
Portuguese Grand Prix,19.936259541984732,53.143893129770994,1006.0480916030533,0.0,32.48473282442748,136.9083969465649,2.402290076335878,7.396946564885496,2020.5114503816794
Qatar Grand Prix,28.99581993569132,74.32186495176849,1011.0125401929262,0.00964630225080386,33.838906752411575,160.2443729903537,0.6617363344051447,18.466237942122188,2022.022508038585
Russian Grand Prix,23.423352165725046,60.53276836158192,1017.6495291902072,0.035781544256120526,31.175706214689264,189.3050847457627,1.317702448210923,14.210922787193974,2019.6365348399247
Sakhir Grand Prix,20.94724409448819,58.169291338582674,1015.9417322834646,0.0,23.469291338582675,122.75590551181102,1.948031496062992,15.0,2020.0
Saudi Arabian Grand Prix,26.626134585289513,64.83599374021908,1012.6359937402191,0.0,30.909702660406886,204.81846635367762,1.3513302034428796,7.738654147104851,2022.3865414710485
Singapore Grand Prix,28.593324061196103,75.18692628650905,1008.8898470097358,0.06397774687065369,33.026008344923504,148.89568845618916,1.4428372739916553,15.709318497913769,2020.8581363004173
Spanish Grand Prix,25.082644628099175,49.7099173553719,999.6388429752067,0.08677685950413223,40.03636363636363,148.1270661157025,1.96849173553719,6.2820247933884295,2021.23347107438
Styrian Grand Prix,23.732773109243695,33.628991596638656,942.2247899159664,0.008403361344537815,46.08403361344538,122.1470588235294,1.3058823529411765,4.470588235294118,2020.4957983193278
São Paulo Grand Prix,22.131299212598428,64.65944881889764,925.711811023622,0.001968503937007874,48.025393700787404,173.95669291338584,1.0683070866141733,20.01771653543307,2022.0492125984251
