name;Year;AirTemp;Humidity;Pressure;Rainfall;TrackTemp;WindDirection;WindSpeed;Round Number;raceId;round;circuitId;date;time;driverStandingsId;driverId;points;wins;driverRef
70th Anniversary Grand Prix;2020;25.287068965517243;58.55603448275862;1000.9508620689656;0.0;43.22758620689655;71.93103448275862;2.236206896551724;4.0;1035;5;9;09/08/2020;13:10:00;69890;822;73.0;0;bottas
70th Anniversary Grand Prix;2020;25.287068965517243;58.55603448275862;1000.9508620689656;0.0;43.22758620689655;71.93103448275862;2.236206896551724;4.0;1035;5;9;09/08/2020;13:10:00;69891;844;45.0;0;leclerc
70th Anniversary Grand Prix;2020;25.287068965517243;58.55603448275862;1000.9508620689656;0.0;43.22758620689655;71.93103448275862;2.236206896551724;4.0;1035;5;9;09/08/2020;13:10:00;69892;846;38.0;0;norris
70th Anniversary Grand Prix;2020;25.287068965517243;58.55603448275862;1000.9508620689656;0.0;43.22758620689655;71.93103448275862;2.236206896551724;4.0;1035;5;9;09/08/2020;13:10:00;69893;1;107.0;0;hamilton
70th Anniversary Grand Prix;2020;25.287068965517243;58.55603448275862;1000.9508620689656;0.0;43.22758620689655;71.93103448275862;2.236206896551724;4.0;1035;5;9;09/08/2020;13:10:00;69894;832;15.0;0;sainz
70th Anniversary Grand Prix;2020;25.287068965517243;58.55603448275862;1000.9508620689656;0.0;43.22758620689655;71.93103448275862;2.236206896551724;4.0;1035;5;9;09/08/2020;13:10:00;69895;815;22.0;0;perez
70th Anniversary Grand Prix;2020;25.287068965517243;58.55603448275862;1000.9508620689656;0.0;43.22758620689655;71.93103448275862;2.236206896551724;4.0;1035;5;9;09/08/2020;13:10:00;69896;842;12.0;0;gasly
70th Anniversary Grand Prix;2020;25.287068965517243;58.55603448275862;1000.9508620689656;0.0;43.22758620689655;71.93103448275862;2.236206896551724;4.0;1035;5;9;09/08/2020;13:10:00;69897;839;16.0;0;ocon
70th Anniversary Grand Prix;2020;25.287068965517243;58.55603448275862;1000.9508620689656;0.0;43.22758620689655;71.93103448275862;2.236206896551724;4.0;1035;5;9;09/08/2020;13:10:00;69902;848;36.0;0;albon
70th Anniversary Grand Prix;2020;25.287068965517243;58.55603448275862;1000.9508620689656;0.0;43.22758620689655;71.93103448275862;2.236206896551724;4.0;1035;5;9;09/08/2020;13:10:00;69904;847;0.0;0;russell
70th Anniversary Grand Prix;2020;25.287068965517243;58.55603448275862;1000.9508620689656;0.0;43.22758620689655;71.93103448275862;2.236206896551724;4.0;1035;5;9;09/08/2020;13:10:00;69906;825;1.0;0;kevin_magnussen
70th Anniversary Grand Prix;2020;25.287068965517243;58.55603448275862;1000.9508620689656;0.0;43.22758620689655;71.93103448275862;2.236206896551724;4.0;1035;5;9;09/08/2020;13:10:00;69907;840;28.0;0;stroll
70th Anniversary Grand Prix;2020;25.287068965517243;58.55603448275862;1000.9508620689656;0.0;43.22758620689655;71.93103448275862;2.236206896551724;4.0;1035;5;9;09/08/2020;13:10:00;69908;817;20.0;0;ricciardo
70th Anniversary Grand Prix;2020;25.287068965517243;58.55603448275862;1000.9508620689656;0.0;43.22758620689655;71.93103448275862;2.236206896551724;4.0;1035;5;9;09/08/2020;13:10:00;69909;830;77.0;0;max_verstappen
70th Anniversary Grand Prix;2020;25.287068965517243;58.55603448275862;1000.9508620689656;0.0;43.22758620689655;71.93103448275862;2.236206896551724;4.0;1035;5;9;09/08/2020;13:10:00;69910;807;6.0;0;hulkenberg
Abu Dhabi Grand Prix;2018;31.273722627737225;45.43795620437956;1013.1116788321168;0.0437956204379562;33.31824817518248;241.17518248175185;2.1635036496350364;21.0;1009;21;24;25/11/2018;13:10:00;69110;1;408.0;0;hamilton
Abu Dhabi Grand Prix;2018;31.273722627737225;45.43795620437956;1013.1116788321168;0.0437956204379562;33.31824817518248;241.17518248175185;2.1635036496350364;21.0;1009;21;24;25/11/2018;13:10:00;69112;817;170.0;0;ricciardo
Abu Dhabi Grand Prix;2018;31.273722627737225;45.43795620437956;1013.1116788321168;0.0437956204379562;33.31824817518248;241.17518248175185;2.1635036496350364;21.0;1009;21;24;25/11/2018;13:10:00;69113;4;50.0;0;alonso
Abu Dhabi Grand Prix;2018;31.273722627737225;45.43795620437956;1013.1116788321168;0.0437956204379562;33.31824817518248;241.17518248175185;2.1635036496350364;21.0;1009;21;24;25/11/2018;13:10:00;69114;830;249.0;5;max_verstappen
Abu Dhabi Grand Prix;2018;31.273722627737225;45.43795620437956;1013.1116788321168;0.0437956204379562;33.31824817518248;241.17518248175185;2.1635036496350364;21.0;1009;21;24;25/11/2018;13:10:00;69115;807;69.0;9;hulkenberg
Abu Dhabi Grand Prix;2018;31.273722627737225;45.43795620437956;1013.1116788321168;0.0437956204379562;33.31824817518248;241.17518248175185;2.1635036496350364;21.0;1009;21;24;25/11/2018;13:10:00;69116;822;247.0;3;bottas
Abu Dhabi Grand Prix;2018;31.273722627737225;45.43795620437956;1013.1116788321168;0.0437956204379562;33.31824817518248;241.17518248175185;2.1635036496350364;21.0;1009;21;24;25/11/2018;13:10:00;69118;832;53.0;2;sainz
Abu Dhabi Grand Prix;2018;31.273722627737225;45.43795620437956;1013.1116788321168;0.0437956204379562;33.31824817518248;241.17518248175185;2.1635036496350364;21.0;1009;21;24;25/11/2018;13:10:00;69119;815;62.0;0;perez
Abu Dhabi Grand Prix;2018;31.273722627737225;45.43795620437956;1013.1116788321168;0.0437956204379562;33.31824817518248;241.17518248175185;2.1635036496350364;21.0;1009;21;24;25/11/2018;13:10:00;69120;839;49.0;0;ocon
